general|2024|sheridan|12|1|12-1|PRESIDENT AND VICE-PRESIDENT|1|REP TRUMP/VANCE 1,291
general|2024|sheridan|12|1|12-1|PRESIDENT AND VICE-PRESIDENT|1|DEM HARRIS/WALZ|390
general|2024|sheridan|12|1|12-1|PRESIDENT AND VICE-PRESIDENT|1|LIB OLIVER/TER MAAT|22
general|2024|sheridan|12|1|12-1|PRESIDENT AND VICE-PRESIDENT|1|Write-In Totals|29
general|2024|sheridan|12|1|12-1|UNITED STATES SENATOR|1|REP JOHN BARRASSO 1,367
general|2024|sheridan|12|1|12-1|UNITED STATES SENATOR|1|DEM SCOTT D MORROW|326
general|2024|sheridan|12|1|12-1|UNITED STATES SENATOR|1|Write-In Totals|15
general|2024|sheridan|12|1|12-1|UNITED STATES REPRESENTATIVE|1|REP HARRIET HAGEMAN 1,276
general|2024|sheridan|12|1|12-1|UNITED STATES REPRESENTATIVE|1|DEM KYLE G. CAMERON|338
general|2024|sheridan|12|1|12-1|UNITED STATES REPRESENTATIVE|1|LIB RICHARD BRUBAKER|39
general|2024|sheridan|12|1|12-1|UNITED STATES REPRESENTATIVE|1|CST JEFFREY HAGGIT|18
general|2024|sheridan|12|1|12-1|UNITED STATES REPRESENTATIVE|1|Write-In Totals|15
general|2024|sheridan|12|1|12-1|STATE REP HOUSE DIST #51|1|REP LAURIE BRATTEN 1,360
general|2024|sheridan|12|1|12-1|STATE REP HOUSE DIST #51|1|Write-In Totals|76
general|2024|sheridan|12|1|12-1|COUNTY COMMISSIONERS 4YR|2|REP LONNIE J. WRIGHT 1,146
general|2024|sheridan|12|1|12-1|COUNTY COMMISSIONERS 4YR|2|REP MICHAEL R. ARZY 1,116
general|2024|sheridan|12|1|12-1|COUNTY COMMISSIONERS 4YR|2|DEM SYDNEE ALYSTER|355
general|2024|sheridan|12|1|12-1|COUNTY COMMISSIONERS 4YR|2|Write-In Totals|40
general|2024|sheridan|12|1|12-1|COUNTY COMMISSIONERS 2YR|1|REP HOLLY JENNINGS 1,283
general|2024|sheridan|12|1|12-1|COUNTY COMMISSIONERS 2YR|1|Write-In Totals|68
general|2024|sheridan|12|1|12-1|RETAIN JUSTICE JOHN G. FENN|1|YES 1,299
general|2024|sheridan|12|1|12-1|RETAIN JUSTICE JOHN G. FENN|1|NO|194
general|2024|sheridan|12|1|12-1|RETAIN JUSTICE KATE M. FOX|1|YES 1,203
general|2024|sheridan|12|1|12-1|RETAIN JUSTICE KATE M. FOX|1|NO|217
general|2024|sheridan|12|1|12-1|RETAIN JUDGE A DARCI A.V. PHILLIPS|1|YES 1,276
general|2024|sheridan|12|1|12-1|RETAIN JUDGE A DARCI A.V. PHILLIPS|1|NO|196
general|2024|sheridan|12|1|12-1|RETAIN JUDGE B BENJAMIN KIRVEN|1|YES 1,244
general|2024|sheridan|12|1|12-1|RETAIN JUDGE B BENJAMIN KIRVEN|1|NO|191
general|2024|sheridan|12|1|12-1|SHERIDAN CO SCH DIST NO. I AT-LARGE TRUSTEE|1|MORGAN (BARKER) STALICK|521
general|2024|sheridan|12|1|12-1|SHERIDAN CO SCH DIST NO. I AT-LARGE TRUSTEE|1|JUSTIN KIDNEIGH|452
general|2024|sheridan|12|1|12-1|SHERIDAN CO SCH DIST NO. I AT-LARGE TRUSTEE|1|SHARON MCCRIGHT|365
general|2024|sheridan|12|1|12-1|SHERIDAN CO SCH DIST NO. I AT-LARGE TRUSTEE|1|Write-In Totals|6
general|2024|sheridan|12|1|12-1|SHERIDAN CO SCH DIST NO. I BIG HORN TRUSTEE|1|BRIAN DAVIDSON|788
general|2024|sheridan|12|1|12-1|SHERIDAN CO SCH DIST NO. I BIG HORN TRUSTEE|1|NICHOLAS ZENT|470
general|2024|sheridan|12|1|12-1|SHERIDAN CO SCH DIST NO. I BIG HORN TRUSTEE|1|Write-In Totals|11
general|2024|sheridan|12|1|12-1|SHERIDAN CO SCH DIST NO. I TONGUE RIVER TRUSTEE|1|MERCEDES BITEMAN 1,052
general|2024|sheridan|12|1|12-1|SHERIDAN CO SCH DIST NO. I TONGUE RIVER TRUSTEE|1|Write-In Totals|42
general|2024|sheridan|12|1|12-1|NORTHERN WY COMM COLL DIST AT-LARGE TRUSTEES|4|TRACY SWANSON|980
general|2024|sheridan|12|1|12-1|NORTHERN WY COMM COLL DIST AT-LARGE TRUSTEES|4|TOM RINGLEY|932
general|2024|sheridan|12|1|12-1|NORTHERN WY COMM COLL DIST AT-LARGE TRUSTEES|4|BOB LEIBRICH|759
general|2024|sheridan|12|1|12-1|NORTHERN WY COMM COLL DIST AT-LARGE TRUSTEES|4|GARY REYNOLDS|664
general|2024|sheridan|12|1|12-1|NORTHERN WY COMM COLL DIST AT-LARGE TRUSTEES|4|Write-In Totals|22
general|2024|sheridan|12|1|12-1|SHERIDAN CO CONSERV DIST SUP RURAL|1|BRIAN CHERNI|565
general|2024|sheridan|12|1|12-1|SHERIDAN CO CONSERV DIST SUP RURAL|1|STEPHANIE MASTERS|549
general|2024|sheridan|12|1|12-1|SHERIDAN CO CONSERV DIST SUP RURAL|1|Write-In Totals|8
general|2024|sheridan|12|1|12-1|SHERIDAN CO CONSERV DIST SUP AT-LARGE TRUSTEES|1|JESSICA M WESTERN 1,034
general|2024|sheridan|12|1|12-1|SHERIDAN CO CONSERV DIST SUP AT-LARGE TRUSTEES|1|Write-In Totals|25
general|2024|sheridan|12|1|12-1|CONSTITUTIONAL AMENDMENT A|1|FOR 1,022
general|2024|sheridan|12|1|12-1|CONSTITUTIONAL AMENDMENT A|1|AGAINST|592
general|2024|sheridan|12|1|12-1|BALLOT PROPOSITION NO. I|1|capital facilities sales and use tax|949
general|2024|sheridan|12|1|12-1|BALLOT PROPOSITION NO. I|1|purpose capital facilities sales and use|724
